Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
213243908,"First-Time Caller (Heartstrings, #1)",B.K. Borison,"Borison, B.K.",,"=""0593641191""","=""9780593641194""",0,4.04,Berkley,Paperback,448,2025,2025,,2025/06/02,currently-reading,currently-reading (#3),currently-reading,,,,1,0
75396525,"The Coven (Coven of Bones, #1)",Harper L. Woods,"Woods, Harper L.",,"=""""","=""""",0,3.73,,Kindle Edition,298,2023,2023,,2025/05/30,to-read,to-read (#36),to-read,,,,0,0
58902005,"My Funny Demon Valentine (Hell Bent, #1)",Aurora Ascher,"Ascher, Aurora",,"=""1777853206""","=""9781777853204""",0,3.78,,Kindle Edition,360,2021,2021,,2025/05/30,to-read,to-read (#35),to-read,,,,0,0
223362942,The Carver (Fifth Republic #2),Penelope Sky,"Sky, Penelope",,"=""""","=""""",0,4.29,Hartwick Publishing,Kindle Edition,318,2025,,2025/05/09,2025/05/11,,,read,,,,1,0
221784786,"The Butcher (Fifth Republic, #1)",Penelope Sky,"Sky, Penelope",,"=""""","=""""",0,3.93,Hartwick Publishng,Kindle Edition,302,2025,,2025/05/06,2025/05/06,,,read,,,,1,0
57101782,"Carnal Urges (Queens & Monsters, #2)",J.T. Geissinger,"Geissinger, J.T.",,"=""""","=""""",3,4.24,"J.T. Geissinger, Inc.",Kindle Edition,356,2021,2021,2025/05/04,2025/05/05,,,read,,,,1,0
219714705,Airpeen,Holly  Wilde,"Wilde, Holly",,"=""""","=""""",5,3.24,,Kindle Edition,39,2024,,2025/05/02,2025/05/04,,,read,Sighs...I’m freaking wheezing ,true,,1,0
210825471,"King of Envy (Kings of Sin, #5)",Ana Huang,"Huang, Ana",,"=""""","=""""",0,4.10,,Kindle Edition,530,2025,2025,,2025/05/04,to-read,to-read (#34),to-read,,,,0,0
204593914,"Phantasma (Wicked Games, #1)",Kaylie Smith,"Smith, Kaylie",,"=""1538769255""","=""9781538769256""",0,4.08,Forever,Paperback,497,2024,2024,,2025/04/24,to-read,to-read (#33),to-read,,,,0,0
213650748,"Wild and Wrangled (Rebel Blue Ranch, #4)",Lyla Sage,"Sage, Lyla",,"=""""","=""""",5,4.02,,ebook,368,2025,2025,2025/04/23,2025/04/23,,,read,,,,1,0
53401676,Excuse Me While I Ugly Cry,Joya Goffney,"Goffney, Joya",,"=""0063024810""","=""9780063024816""",0,4.07,HarperTeen,ebook,368,2021,2021,,2025/04/14,to-read,to-read (#32),to-read,,,,0,0
202547922,"Off to the Races (Gold Rush Ranch, #1)",Elsie Silver,"Silver, Elsie",,"=""1464220778""","=""9781464220777""",0,3.71,Bloom Books,Paperback,480,2024,2021,,2025/04/14,currently-reading,currently-reading (#2),currently-reading,,,,1,0
38233153,"Sinner (Priest, #2)",Sierra Simone,"Simone, Sierra",,"=""""","=""""",3,3.91,,Kindle Edition,400,2018,2018,2025/04/10,2025/04/13,,,read,,,,1,0
